step,hour,weather_level,demand_level,renewable_level,price_level
0,0,2,1,0,1
1,1,2,1,0,1
2,2,2,1,0,1
3,3,1,1,0,1
4,4,0,1,0,1
5,5,2,2,0,1
6,6,1,2,1,1
7,7,1,2,1,1
8,8,2,2,1,1
9,9,2,2,2,0
10,10,1,2,3,0
11,11,2,2,2,0
12,12,0,2,2,0
13,13,0,3,3,0
14,14,1,3,3,0
15,15,2,3,3,0
16,16,2,3,2,1
17,17,2,3,2,1
18,18,2,3,0,2
19,19,1,3,0,2
20,20,2,3,0,2
21,21,2,1,0,1
22,22,1,1,0,1
23,23,2,1,0,1
24,0,2,1,0,1
25,1,2,1,0,1
26,2,2,1,0,1
27,3,1,2,0,1
28,4,2,1,0,1
29,5,2,1,0,1
30,6,2,2,1,1
31,7,2,2,1,1
32,8,2,2,1,1
33,9,2,3,3,0
34,10,1,3,3,0
35,11,2,2,3,0
36,12,2,2,3,0
37,13,0,3,3,0
38,14,2,3,3,0
39,15,2,3,3,0
40,16,2,3,2,1
41,17,0,3,2,1
42,18,1,3,1,2
43,19,2,3,1,2
44,20,1,3,0,2
45,21,1,1,0,1
46,22,0,1,0,1
47,23,1,1,0,1
48,0,2,1,0,1
49,1,2,1,0,1
50,2,2,1,0,1
51,3,2,1,0,1
52,4,1,1,0,1
53,5,2,1,0,1
54,6,1,2,0,1
55,7,1,1,0,1
56,8,0,2,1,1
57,9,2,1,3,0
58,10,2,2,3,0
59,11,2,2,3,0
60,12,2,2,3,0
61,13,2,3,3,0
62,14,2,3,3,0
63,15,2,3,3,0
64,16,2,3,2,1
65,17,2,3,2,1
66,18,2,3,1,2
67,19,2,3,0,2
68,20,2,3,0,2
69,21,2,1,0,1
70,22,1,1,0,1
71,23,2,1,0,1
72,0,1,1,0,1
73,1,2,1,1,1
74,2,2,1,1,1
75,3,0,1,0,1
76,4,1,1,0,1
77,5,2,1,0,1
78,6,1,2,1,1
79,7,2,2,1,1
80,8,2,2,1,1
81,9,1,3,3,0
82,10,2,2,3,0
83,11,2,2,3,0
84,12,2,2,3,0
85,13,0,3,3,0
86,14,2,3,3,0
87,15,2,3,3,0
88,16,2,3,2,1
89,17,2,3,2,1
90,18,2,3,1,2
91,19,0,3,0,2
92,20,2,2,0,2
93,21,2,1,0,1
94,22,2,1,0,1
95,23,0,1,0,1
96,0,2,1,0,1
97,1,0,2,0,1
98,2,2,1,0,1
99,3,2,1,0,1
100,4,2,2,0,1
101,5,2,1,0,1
102,6,2,2,1,1
103,7,2,2,1,1
104,8,2,2,1,1
105,9,2,2,3,0
106,10,2,2,2,0
107,11,0,2,3,0
108,12,2,2,3,0
109,13,1,3,3,0
110,14,2,3,2,0
111,15,2,3,3,0
112,16,2,3,3,1
113,17,2,3,2,1
114,18,2,3,1,2
115,19,2,3,0,2
116,20,2,3,0,2
117,21,2,1,0,1
118,22,1,1,0,1
119,23,2,1,0,1
120,0,2,1,0,1
121,1,2,1,0,1
122,2,2,1,0,1
123,3,2,1,0,1
124,4,2,1,0,1
125,5,2,1,0,1
126,6,0,2,1,1
127,7,2,2,1,1
128,8,0,2,1,1
129,9,1,2,3,0
130,10,2,2,3,0
131,11,2,2,3,0
132,12,2,2,3,0
133,13,0,3,3,0
134,14,2,3,3,0
135,15,2,3,3,0
136,16,1,3,2,1
137,17,2,3,2,1
138,18,2,3,0,2
139,19,2,3,0,2
140,20,1,3,0,2
141,21,2,1,0,1
142,22,1,1,0,1
143,23,2,2,0,1
144,0,2,1,0,1
145,1,2,1,0,1
146,2,1,1,0,1
147,3,2,1,0,1
148,4,2,1,0,1
149,5,2,1,0,1
150,6,2,2,1,1
151,7,2,2,1,1
152,8,2,2,2,1
153,9,2,2,3,0
154,10,1,2,3,0
155,11,2,2,3,0
156,12,2,2,3,0
157,13,2,3,3,0
158,14,1,3,3,0
159,15,2,3,3,0
160,16,2,3,2,1
161,17,2,3,2,1
162,18,2,3,1,2
163,19,2,3,0,2
164,20,1,3,0,2
165,21,1,1,0,1
166,22,2,1,0,1
167,23,2,1,0,1
